fov,hub_id,hub_uid,nucleus_id,radius_start_nm,radius_end_nm,radius_center_nm,bin_index,h3k27ac_sum_intensity,h3k27ac_mean_intensity,h3k27ac_median_intensity,expected_h3k27ac_sum_intensity,local_h3k27ac_mean,spen_sum_intensity,spen_mean_intensity,spen_median_intensity,expected_spen_sum_intensity,local_spen_mean,local_reference_pixel_count,h3k27ac_rdf_local_norm,spen_rdf_local_norm,pixel_count,spotiflow_intensity,nucleus_spen_median,nucleus_h3k27ac_mean
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,237,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00237,4,0.0,100.0,50.0,0,6614371.8125,734930.2013888889,733782.9375,6818901.8980263155,757655.7664473684,152543.275390625,16949.252821180555,16919.19921875,115114.6137742038,12790.5126415782,836,0.9700054219015065,1.3251425721658343,9,17422.18359375,7236.885498046875,1548267.8988573803
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,237,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00237,4,50.0,150.0,100.0,1,14733168.25,736658.4125,737380.40625,15153115.328947369,757655.7664473684,326607.4873046875,16330.374365234375,16281.7998046875,255810.252831564,12790.5126415782,836,0.9722864196680973,1.276756829288384,20,17422.18359375,7236.885498046875,1548267.8988573803
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,237,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00237,4,100.0,200.0,150.0,2,20709552.4375,739626.8727678572,745682.71875,21214361.460526317,757655.7664473684,432210.2607421875,15436.080740792411,15490.2412109375,358134.3539641896,12790.5126415782,836,0.9762043734398691,1.2068383162856386,28,17422.18359375,7236.885498046875,1548267.8988573803
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,237,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00237,4,150.0,250.0,200.0,3,28901713.1875,741069.5689102564,745889.625,29548574.89144737,757655.7664473684,570734.3505859375,14634.21411758814,14696.28125,498829.9930215498,12790.5126415782,836,0.9781085312464731,1.1441460188246568,39,17422.18359375,7236.885498046875,1548267.8988573803
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,237,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00237,4,200.0,300.0,250.0,4,37174597.8125,743491.95625,749656.90625,37882788.32236842,757655.7664473684,705426.8837890625,14108.53767578125,14149.5751953125,639525.63207891,12790.5126415782,836,0.9813057448717348,1.1030470842832787,50,17422.18359375,7236.885498046875,1548267.8988573803
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,237,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00237,4,250.0,350.0,300.0,5,37322855.1875,746457.10375,753719.65625,37882788.32236842,757655.7664473684,691088.3271484375,13821.76654296875,13779.05126953125,639525.63207891,12790.5126415782,836,0.9852193262517109,1.0806264713767801,50,17422.18359375,7236.885498046875,1548267.8988573803
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,237,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00237,4,300.0,400.0,350.0,6,43405863.0,748376.948275862,752449.5,43944034.453947365,757655.7664473684,789988.783203125,13620.496262122844,13367.39697265625,741849.7332115356,12790.5126415782,836,0.9877532534134671,1.0648905672354845,58,17422.18359375,7236.885498046875,1548267.8988573803
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,237,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00237,4,350.0,450.0,400.0,7,56037370.375,747164.9383333334,750153.25,56824182.483552635,757655.7664473684,1007478.9560546875,13433.052747395834,12944.5380859375,959288.448118365,12790.5126415782,836,0.9861535692347114,1.0502356804471562,75,17422.18359375,7236.885498046875,1548267.8988573803
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,237,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00237,4,400.0,500.0,450.0,8,62392975.3125,742773.515625,738663.9375,63643084.381578945,757655.7664473684,1115167.00390625,13275.797665550595,12800.66455078125,1074403.0618925688,12790.5126415782,836,0.9803575033921395,1.0379410143730186,84,17422.18359375,7236.885498046875,1548267.8988573803
TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2,237,TXSHA-undiff-SPEN_JF549_H3K27ac_DL650-SACD-FOV-2_hub_00237,4,450.0,550.0,500.0,9,69669896.03125,741169.1067154255,744161.25,71219642.04605263,757655.7664473684,1221837.9501953125,12998.27606590758,12509.97607421875,1202308.1883083507,12790.5126415782,836,0.9782399072744493,1.0162435572483626,94,17422.18359375,7236.885498046875,1548267.8988573803
