condition,results_dir,pcf_type,r_center_nm,mean_G,sem_G,n_nuclei,color
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,250.0,0.9739657288047796,0.0205318543690803,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,270.0,0.9716296066424432,0.0200892364752819,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,290.0,0.969819397696671,0.0196906104579154,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,310.0,0.9684366250898412,0.0193241812449985,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,330.0,0.9675255523795344,0.0190401512161765,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,350.0,0.9669315368368284,0.0187839365961502,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,370.0,0.966708792970401,0.0185314546330335,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,390.0,0.9667445405614276,0.0182817917129072,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,410.0,0.9667956143140378,0.0181040731706964,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,430.0,0.9668873321620888,0.0179979153171823,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,450.0,0.9671429996379602,0.0179296321260276,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,470.0,0.967649598928232,0.0179048314332311,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,490.0,0.96839536444358,0.0178919311454965,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,510.0,0.9693473896691388,0.0178752294532235,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,530.0,0.9704727333935494,0.0178735738453735,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,550.0,0.971425514803,0.0179040505512337,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,570.0,0.9721946574892684,0.0179553217606157,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,590.0,0.97281731182677,0.0180055979105206,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,610.0,0.9734648638448424,0.0180054386602643,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,630.0,0.9740123751654066,0.0178876816925289,10,#D55E00
Aux 1h,/Volumes/guttman/users/gmgao/Imaging_ProcessedData/SPEN/20260413_ONI-gmgao-SPEN_H3K27ac_dSTORM_SACD/processed-dSTORM/Aux1h,cross,650.0,0.9746016584821529,0.0176764747240358,10,#D55E00
